Месяц;День месяца;День недели;Число;Кол-во выпадений;Шанс (%);Тип
январь;27;среда;23;1;0,05;Редкое
январь;27;среда;43;1;0,05;Редкое
январь;27;среда;16;1;0,05;Редкое
январь;28;четверг;38;1;0,05;Частое
январь;28;четверг;27;1;0,05;Частое
январь;28;четверг;10;1;0,05;Частое
январь;28;четверг;53;1;0,05;Частое
январь;28;четверг;55;1;0,05;Частое
январь;28;четверг;44;1;0,05;Частое
январь;28;четверг;56;1;0,05;Частое
январь;28;четверг;39;1;0,05;Частое
январь;28;четверг;34;1;0,05;Частое
январь;28;четверг;26;1;0,05;Частое
январь;28;четверг;3;1;0,05;Редкое
январь;28;четверг;4;1;0,05;Редкое
январь;28;четверг;45;1;0,05;Редкое
январь;28;четверг;57;1;0,05;Редкое
январь;28;четверг;20;1;0,05;Редкое
январь;28;четверг;48;1;0,05;Редкое
январь;28;четверг;24;1;0,05;Редкое
январь;28;четверг;19;1;0,05;Редкое
январь;28;четверг;35;1;0,05;Редкое
январь;28;четверг;6;1;0,05;Редкое
январь;29;пятница;4;1;0,05;Частое
январь;29;пятница;49;1;0,05;Частое
январь;29;пятница;39;1;0,05;Частое
январь;29;пятница;31;1;0,05;Частое
январь;29;пятница;40;1;0,05;Частое
январь;29;пятница;50;1;0,05;Частое
январь;29;пятница;52;1;0,05;Частое
январь;29;пятница;35;1;0,05;Частое
январь;29;пятница;7;1;0,05;Частое
январь;29;пятница;20;1;0,05;Частое
январь;29;пятница;1;1;0,05;Редкое
январь;29;пятница;58;1;0,05;Редкое
январь;29;пятница;12;1;0,05;Редкое
январь;29;пятница;48;1;0,05;Редкое
январь;29;пятница;46;1;0,05;Редкое
январь;29;пятница;43;1;0,05;Редкое
январь;29;пятница;19;1;0,05;Редкое
январь;29;пятница;37;1;0,05;Редкое
январь;29;пятница;29;1;0,05;Редкое
январь;29;пятница;59;1;0,05;Редкое
январь;30;суббота;1;1;0,05;Частое
январь;30;суббота;9;1;0,05;Частое
январь;30;суббота;52;1;0,05;Частое
январь;30;суббота;33;1;0,05;Частое
январь;30;суббота;29;1;0,05;Частое
январь;30;суббота;28;1;0,05;Частое
январь;30;суббота;24;1;0,05;Частое
январь;30;суббота;58;1;0,05;Частое
январь;30;суббота;21;1;0,05;Частое
январь;30;суббота;15;1;0,05;Частое
январь;30;суббота;16;1;0,05;Редкое
январь;30;суббота;34;1;0,05;Редкое
январь;30;суббота;18;1;0,05;Редкое
январь;30;суббота;46;1;0,05;Редкое
январь;30;суббота;23;1;0,05;Редкое
январь;30;суббота;8;1;0,05;Редкое
январь;30;суббота;56;1;0,05;Редкое
январь;30;суббота;45;1;0,05;Редкое
январь;30;суббота;13;1;0,05;Редкое
январь;30;суббота;54;1;0,05;Редкое
январь;31;воскресенье;10;1;0,05;Частое
январь;31;воскресенье;32;1;0,05;Частое
январь;31;воскресенье;8;1;0,05;Частое
январь;31;воскресенье;26;1;0,05;Частое
январь;31;воскресенье;7;1;0,05;Частое
январь;31;воскресенье;30;1;0,05;Частое
январь;31;воскресенье;37;1;0,05;Частое
январь;31;воскресенье;42;1;0,05;Частое
январь;31;воскресенье;23;1;0,05;Частое
январь;31;воскресенье;53;1;0,05;Частое
январь;31;воскресенье;45;1;0,05;Редкое
январь;31;воскресенье;36;1;0,05;Редкое
январь;31;воскресенье;48;1;0,05;Редкое
январь;31;воскресенье;2;1;0,05;Редкое
январь;31;воскресенье;17;1;0,05;Редкое
январь;31;воскресенье;21;1;0,05;Редкое
январь;31;воскресенье;25;1;0,05;Редкое
январь;31;воскресенье;55;1;0,05;Редкое
январь;31;воскресенье;44;1;0,05;Редкое
январь;31;воскресенье;19;1;0,05;Редкое
февраль;1;понедельник;53;1;0,05;Частое
февраль;1;понедельник;38;1;0,05;Частое
февраль;1;понедельник;54;1;0,05;Частое
февраль;1;понедельник;39;1;0,05;Частое
февраль;1;понедельник;30;1;0,05;Частое
февраль;1;понедельник;47;1;0,05;Частое
февраль;1;понедельник;6;1;0,05;Частое
февраль;1;понедельник;36;1;0,05;Частое
февраль;1;понедельник;24;1;0,05;Частое
февраль;1;понедельник;31;1;0,05;Частое
февраль;1;понедельник;40;1;0,05;Редкое
февраль;1;понедельник;48;1;0,05;Редкое
февраль;1;понедельник;60;1;0,05;Редкое
февраль;1;понедельник;35;1;0,05;Редкое
февраль;1;понедельник;15;1;0,05;Редкое
февраль;1;понедельник;56;1;0,05;Редкое
февраль;1;понедельник;55;1;0,05;Редкое
февраль;1;понедельник;16;1;0,05;Редкое
февраль;1;понедельник;20;1;0,05;Редкое
февраль;1;понедельник;57;1;0,05;Редкое
февраль;2;вторник;28;1;0,05;Частое
февраль;2;вторник;52;1;0,05;Частое
февраль;2;вторник;12;1;0,05;Частое
февраль;2;вторник;53;1;0,05;Частое
февраль;2;вторник;55;1;0,05;Частое
февраль;2;вторник;49;1;0,05;Частое
февраль;2;вторник;15;1;0,05;Частое
февраль;2;вторник;30;1;0,05;Частое
февраль;2;вторник;14;1;0,05;Частое
февраль;2;вторник;39;1;0,05;Частое
февраль;2;вторник;3;1;0,05;Редкое
февраль;2;вторник;20;1;0,05;Редкое
февраль;2;вторник;54;1;0,05;Редкое
февраль;2;вторник;60;1;0,05;Редкое
февраль;2;вторник;19;1;0,05;Редкое
февраль;2;вторник;50;1;0,05;Редкое
февраль;2;вторник;22;1;0,05;Редкое
февраль;2;вторник;41;1;0,05;Редкое
февраль;2;вторник;35;1;0,05;Редкое
февраль;2;вторник;29;1;0,05;Редкое
