День месяца;День недели;№ Шара;Кол-во выпадений;Шанс (%);Тип
4;понедельник;10;2;0,1667;Редкое
4;понедельник;11;2;0,1667;Редкое
4;понедельник;4;2;0,1667;Редкое
4;понедельник;7;1;0,0833;Редкое
4;понедельник;19;1;0,0833;Редкое
4;понедельник;15;1;0,0833;Редкое
4;понедельник;1;1;0,0833;Редкое
4;вторник;20;3;0,25;Частое
4;вторник;2;1;0,0833;Частое
4;вторник;10;1;0,0833;Частое
4;вторник;12;1;0,0833;Частое
4;вторник;7;1;0,0833;Частое
4;вторник;18;1;0,0833;Частое
4;вторник;14;1;0,0833;Частое
4;вторник;16;1;0,0833;Частое
4;вторник;5;1;0,0833;Частое
4;вторник;19;1;0,0833;Частое
4;вторник;20;3;0,25;Редкое
4;вторник;2;1;0,0833;Редкое
4;вторник;10;1;0,0833;Редкое
4;вторник;12;1;0,0833;Редкое
4;вторник;7;1;0,0833;Редкое
4;вторник;18;1;0,0833;Редкое
4;вторник;14;1;0,0833;Редкое
4;вторник;16;1;0,0833;Редкое
4;вторник;5;1;0,0833;Редкое
4;вторник;19;1;0,0833;Редкое
4;среда;17;3;0,125;Частое
4;среда;2;2;0,0833;Частое
4;среда;20;2;0,0833;Частое
4;среда;15;2;0,0833;Частое
4;среда;10;2;0,0833;Частое
4;среда;12;2;0,0833;Частое
4;среда;7;2;0,0833;Частое
4;среда;8;1;0,0417;Частое
4;среда;6;1;0,0417;Частое
4;среда;13;1;0,0417;Частое
4;среда;7;2;0,0833;Редкое
4;среда;8;1;0,0417;Редкое
4;среда;6;1;0,0417;Редкое
4;среда;13;1;0,0417;Редкое
4;среда;16;1;0,0417;Редкое
4;среда;18;1;0,0417;Редкое
4;среда;5;1;0,0417;Редкое
4;среда;1;1;0,0417;Редкое
4;среда;11;1;0,0417;Редкое
4;среда;9;1;0,0417;Редкое
4;четверг;10;4;0,0952;Частое
4;четверг;2;3;0,0714;Частое
4;четверг;7;3;0,0714;Частое
4;четверг;11;3;0,0714;Частое
4;четверг;13;3;0,0714;Частое
4;четверг;5;3;0,0714;Частое
4;четверг;9;3;0,0714;Частое
4;четверг;6;3;0,0714;Частое
4;четверг;4;2;0,0476;Частое
4;четверг;3;2;0,0476;Частое
4;четверг;4;2;0,0476;Редкое
4;четверг;3;2;0,0476;Редкое
4;четверг;16;2;0,0476;Редкое
4;четверг;8;2;0,0476;Редкое
4;четверг;15;2;0,0476;Редкое
4;четверг;1;2;0,0476;Редкое
4;четверг;12;2;0,0476;Редкое
4;четверг;18;1;0,0238;Редкое
4;четверг;17;1;0,0238;Редкое
4;четверг;14;1;0,0238;Редкое
4;суббота;4;2;0,1667;Частое
4;суббота;7;2;0,1667;Частое
4;суббота;19;2;0,1667;Частое
4;суббота;16;1;0,0833;Частое
4;суббота;8;1;0,0833;Частое
4;суббота;14;1;0,0833;Частое
4;суббота;15;1;0,0833;Частое
4;суббота;17;1;0,0833;Частое
4;суббота;18;1;0,0833;Частое
4;суббота;4;2;0,1667;Редкое
4;суббота;7;2;0,1667;Редкое
4;суббота;19;2;0,1667;Редкое
4;суббота;16;1;0,0833;Редкое
4;суббота;8;1;0,0833;Редкое
4;суббота;14;1;0,0833;Редкое
4;суббота;15;1;0,0833;Редкое
4;суббота;17;1;0,0833;Редкое
4;суббота;18;1;0,0833;Редкое
4;воскресенье;11;3;0,25;Частое
4;воскресенье;14;2;0,1667;Частое
4;воскресенье;3;1;0,0833;Частое
4;воскресенье;1;1;0,0833;Частое
4;воскресенье;7;1;0,0833;Частое
4;воскресенье;10;1;0,0833;Частое
4;воскресенье;17;1;0,0833;Частое
4;воскресенье;13;1;0,0833;Частое
4;воскресенье;16;1;0,0833;Частое
4;воскресенье;11;3;0,25;Редкое
4;воскресенье;14;2;0,1667;Редкое
4;воскресенье;3;1;0,0833;Редкое
4;воскресенье;1;1;0,0833;Редкое
4;воскресенье;7;1;0,0833;Редкое
4;воскресенье;10;1;0,0833;Редкое
4;воскресенье;17;1;0,0833;Редкое
4;воскресенье;13;1;0,0833;Редкое
4;воскресенье;16;1;0,0833;Редкое
5;понедельник;6;2;0,1667;Частое
5;понедельник;8;2;0,1667;Частое
5;понедельник;1;2;0,1667;Частое
5;понедельник;7;1;0,0833;Частое
5;понедельник;17;1;0,0833;Частое
5;понедельник;4;1;0,0833;Частое
5;понедельник;19;1;0,0833;Частое
5;понедельник;16;1;0,0833;Частое
5;понедельник;18;1;0,0833;Частое
5;понедельник;6;2;0,1667;Редкое
5;понедельник;8;2;0,1667;Редкое
5;понедельник;1;2;0,1667;Редкое
5;понедельник;7;1;0,0833;Редкое
5;понедельник;17;1;0,0833;Редкое
5;понедельник;4;1;0,0833;Редкое
5;понедельник;19;1;0,0833;Редкое
5;понедельник;16;1;0,0833;Редкое
5;понедельник;18;1;0,0833;Редкое
5;вторник;9;2;0,1667;Частое
5;вторник;11;2;0,1667;Частое
5;вторник;20;1;0,0833;Частое
5;вторник;1;1;0,0833;Частое
5;вторник;18;1;0,0833;Частое
5;вторник;7;1;0,0833;Частое
5;вторник;8;1;0,0833;Частое
5;вторник;15;1;0,0833;Частое
5;вторник;16;1;0,0833;Частое
5;вторник;19;1;0,0833;Частое
5;вторник;9;2;0,1667;Редкое
5;вторник;11;2;0,1667;Редкое
5;вторник;20;1;0,0833;Редкое
5;вторник;1;1;0,0833;Редкое
5;вторник;18;1;0,0833;Редкое
5;вторник;7;1;0,0833;Редкое
5;вторник;8;1;0,0833;Редкое
5;вторник;15;1;0,0833;Редкое
5;вторник;16;1;0,0833;Редкое
5;вторник;19;1;0,0833;Редкое
5;среда;11;2;0,1667;Частое
5;среда;16;2;0,1667;Частое
5;среда;4;1;0,0833;Частое
5;среда;10;1;0,0833;Частое
5;среда;12;1;0,0833;Частое
5;среда;1;1;0,0833;Частое
5;среда;3;1;0,0833;Частое
5;среда;6;1;0,0833;Частое
5;среда;13;1;0,0833;Частое
5;среда;15;1;0,0833;Частое
5;среда;11;2;0,1667;Редкое
5;среда;16;2;0,1667;Редкое
5;среда;4;1;0,0833;Редкое
5;среда;10;1;0,0833;Редкое
5;среда;12;1;0,0833;Редкое
5;среда;1;1;0,0833;Редкое
5;среда;3;1;0,0833;Редкое
5;среда;6;1;0,0833;Редкое
5;среда;13;1;0,0833;Редкое
5;среда;15;1;0,0833;Редкое
5;четверг;4;3;0,125;Частое
5;четверг;5;3;0,125;Частое
5;четверг;9;3;0,125;Частое
5;четверг;3;2;0,0833;Частое
5;четверг;19;2;0,0833;Частое
5;четверг;7;2;0,0833;Частое
5;четверг;14;2;0,0833;Частое
5;четверг;12;2;0,0833;Частое
5;четверг;11;1;0,0417;Частое
5;четверг;10;1;0,0417;Частое
5;четверг;3;2;0,0833;Редкое
5;четверг;19;2;0,0833;Редкое
5;четверг;7;2;0,0833;Редкое
5;четверг;14;2;0,0833;Редкое
5;четверг;12;2;0,0833;Редкое
5;четверг;11;1;0,0417;Редкое
5;четверг;10;1;0,0417;Редкое
5;четверг;16;1;0,0417;Редкое
5;четверг;15;1;0,0417;Редкое
5;четверг;1;1;0,0417;Редкое
5;пятница;11;5;0,119;Частое
5;пятница;4;4;0,0952;Частое
5;пятница;6;4;0,0952;Частое
5;пятница;17;3;0,0714;Частое
5;пятница;7;3;0,0714;Частое
5;пятница;18;3;0,0714;Частое
5;пятница;3;3;0,0714;Частое
5;пятница;5;3;0,0714;Частое
5;пятница;9;2;0,0476;Частое
5;пятница;16;2;0,0476;Частое
5;пятница;9;2;0,0476;Редкое
5;пятница;16;2;0,0476;Редкое
5;пятница;13;2;0,0476;Редкое
5;пятница;10;2;0,0476;Редкое
5;пятница;2;1;0,0238;Редкое
5;пятница;20;1;0,0238;Редкое
5;пятница;12;1;0,0238;Редкое
5;пятница;1;1;0,0238;Редкое
5;пятница;15;1;0,0238;Редкое
5;пятница;8;1;0,0238;Редкое
5;воскресенье;20;4;0,3333;Частое
5;воскресенье;1;2;0,1667;Частое
5;воскресенье;3;2;0,1667;Частое
5;воскресенье;2;1;0,0833;Частое
5;воскресенье;14;1;0,0833;Частое
5;воскресенье;13;1;0,0833;Частое
5;воскресенье;11;1;0,0833;Частое
5;воскресенье;20;4;0,3333;Редкое
5;воскресенье;1;2;0,1667;Редкое
5;воскресенье;3;2;0,1667;Редкое
5;воскресенье;2;1;0,0833;Редкое
5;воскресенье;14;1;0,0833;Редкое
5;воскресенье;13;1;0,0833;Редкое
5;воскресенье;11;1;0,0833;Редкое
6;понедельник;7;2;0,1667;Частое
6;понедельник;9;2;0,1667;Частое
6;понедельник;8;2;0,1667;Частое
6;понедельник;19;1;0,0833;Частое
6;понедельник;3;1;0,0833;Частое
6;понедельник;6;1;0,0833;Частое
6;понедельник;14;1;0,0833;Частое
6;понедельник;4;1;0,0833;Частое
6;понедельник;5;1;0,0833;Частое
6;понедельник;7;2;0,1667;Редкое
6;понедельник;9;2;0,1667;Редкое
6;понедельник;8;2;0,1667;Редкое
6;понедельник;19;1;0,0833;Редкое
6;понедельник;3;1;0,0833;Редкое
6;понедельник;6;1;0,0833;Редкое
6;понедельник;14;1;0,0833;Редкое
6;понедельник;4;1;0,0833;Редкое
6;понедельник;5;1;0,0833;Редкое
6;вторник;17;2;0,1667;Частое
6;вторник;9;2;0,1667;Частое
6;вторник;14;1;0,0833;Частое
6;вторник;19;1;0,0833;Частое
6;вторник;16;1;0,0833;Частое
6;вторник;20;1;0,0833;Частое
6;вторник;12;1;0,0833;Частое
6;вторник;13;1;0,0833;Частое
6;вторник;6;1;0,0833;Частое
6;вторник;8;1;0,0833;Частое
6;вторник;17;2;0,1667;Редкое
6;вторник;9;2;0,1667;Редкое
6;вторник;14;1;0,0833;Редкое
6;вторник;19;1;0,0833;Редкое
6;вторник;16;1;0,0833;Редкое
6;вторник;20;1;0,0833;Редкое
6;вторник;12;1;0,0833;Редкое
6;вторник;13;1;0,0833;Редкое
6;вторник;6;1;0,0833;Редкое
6;вторник;8;1;0,0833;Редкое
6;среда;8;3;0,25;Частое
6;среда;13;2;0,1667;Частое
6;среда;20;2;0,1667;Частое
6;среда;14;1;0,0833;Частое
6;среда;18;1;0,0833;Частое
6;среда;4;1;0,0833;Частое
6;среда;12;1;0,0833;Частое
6;среда;5;1;0,0833;Частое
6;среда;8;3;0,25;Редкое
6;среда;13;2;0,1667;Редкое
6;среда;20;2;0,1667;Редкое
6;среда;14;1;0,0833;Редкое
6;среда;18;1;0,0833;Редкое
6;среда;4;1;0,0833;Редкое
6;среда;12;1;0,0833;Редкое
6;среда;5;1;0,0833;Редкое
6;четверг;13;2;0,1667;Частое
6;четверг;18;2;0,1667;Частое
6;четверг;7;1;0,0833;Частое
6;четверг;12;1;0,0833;Частое
6;четверг;5;1;0,0833;Частое
6;четверг;19;1;0,0833;Частое
6;четверг;1;1;0,0833;Частое
6;четверг;20;1;0,0833;Частое
6;четверг;6;1;0,0833;Частое
6;четверг;17;1;0,0833;Частое
6;четверг;13;2;0,1667;Редкое
6;четверг;18;2;0,1667;Редкое
6;четверг;7;1;0,0833;Редкое
6;четверг;12;1;0,0833;Редкое
6;четверг;5;1;0,0833;Редкое
6;четверг;19;1;0,0833;Редкое
6;четверг;1;1;0,0833;Редкое
6;четверг;20;1;0,0833;Редкое
6;четверг;6;1;0,0833;Редкое
6;четверг;17;1;0,0833;Редкое
6;пятница;20;3;0,125;Частое
6;пятница;3;2;0,0833;Частое
6;пятница;13;2;0,0833;Частое
6;пятница;5;2;0,0833;Частое
6;пятница;11;2;0,0833;Частое
6;пятница;14;2;0,0833;Частое
6;пятница;9;2;0,0833;Частое
6;пятница;10;2;0,0833;Частое
6;пятница;7;1;0,0417;Частое
6;пятница;8;1;0,0417;Частое
6;пятница;14;2;0,0833;Редкое
6;пятница;9;2;0,0833;Редкое
6;пятница;10;2;0,0833;Редкое
6;пятница;7;1;0,0417;Редкое
6;пятница;8;1;0,0417;Редкое
6;пятница;4;1;0,0417;Редкое
6;пятница;18;1;0,0417;Редкое
6;пятница;1;1;0,0417;Редкое
6;пятница;12;1;0,0417;Редкое
6;пятница;19;1;0,0417;Редкое
6;суббота;2;3;0,0714;Частое
6;суббота;11;3;0,0714;Частое
6;суббота;12;3;0,0714;Частое
6;суббота;16;3;0,0714;Частое
6;суббота;8;3;0,0714;Частое
6;суббота;9;3;0,0714;Частое
6;суббота;14;3;0,0714;Частое
6;суббота;20;3;0,0714;Частое
6;суббота;1;2;0,0476;Частое
6;суббота;13;2;0,0476;Частое
6;суббота;13;2;0,0476;Редкое
6;суббота;15;2;0,0476;Редкое
6;суббота;7;2;0,0476;Редкое
6;суббота;5;2;0,0476;Редкое
6;суббота;17;2;0,0476;Редкое
6;суббота;18;2;0,0476;Редкое
6;суббота;3;1;0,0238;Редкое
6;суббота;10;1;0,0238;Редкое
6;суббота;19;1;0,0238;Редкое
6;суббота;6;1;0,0238;Редкое
7;вторник;17;2;0,1667;Частое
7;вторник;7;2;0,1667;Частое
7;вторник;14;1;0,0833;Частое
7;вторник;20;1;0,0833;Частое
7;вторник;3;1;0,0833;Частое
7;вторник;1;1;0,0833;Частое
7;вторник;5;1;0,0833;Частое
7;вторник;13;1;0,0833;Частое
7;вторник;15;1;0,0833;Частое
7;вторник;18;1;0,0833;Частое
7;вторник;17;2;0,1667;Редкое
7;вторник;7;2;0,1667;Редкое
7;вторник;14;1;0,0833;Редкое
7;вторник;20;1;0,0833;Редкое
7;вторник;3;1;0,0833;Редкое
7;вторник;1;1;0,0833;Редкое
7;вторник;5;1;0,0833;Редкое
7;вторник;13;1;0,0833;Редкое
7;вторник;15;1;0,0833;Редкое
