№ Квадрата;Четные;Нечетные;Количество;Числа квадрата;Шанс
34;2;0;9;37_38_47_48;0,002
34;2;1;6;37_38_47_48;0,0013
34;0;2;3;37_38_47_48;0,0007
34;1;2;3;37_38_47_48;0,0007
34;2;2;1;37_38_47_48;0,0002
35;0;1;20;38_39_48_49;0,0044
35;1;2;5;38_39_48_49;0,0011
35;0;0;20;38_39_48_49;0,0044
35;1;0;16;38_39_48_49;0,0036
35;2;1;11;38_39_48_49;0,0024
35;0;2;6;38_39_48_49;0,0013
35;1;1;17;38_39_48_49;0,0038
35;2;0;4;38_39_48_49;0,0009
35;2;2;1;38_39_48_49;0,0002
36;0;1;16;39_40_49_50;0,0036
36;1;2;7;39_40_49_50;0,0016
36;0;0;17;39_40_49_50;0,0038
36;2;2;1;39_40_49_50;0,0002
36;1;1;24;39_40_49_50;0,0053
36;1;0;18;39_40_49_50;0,004
36;2;0;5;39_40_49_50;0,0011
36;2;1;8;39_40_49_50;0,0018
36;0;2;4;39_40_49_50;0,0009
37;1;1;20;41_42_51_52;0,0044
37;1;0;26;41_42_51_52;0,0058
37;0;2;5;41_42_51_52;0,0011
37;0;0;15;41_42_51_52;0,0033
37;0;1;18;41_42_51_52;0,004
37;2;1;5;41_42_51_52;0,0011
37;1;2;5;41_42_51_52;0,0011
37;2;0;6;41_42_51_52;0,0013
38;1;2;3;42_43_52_53;0,0007
38;1;0;18;42_43_52_53;0,004
38;1;1;30;42_43_52_53;0,0067
38;0;1;15;42_43_52_53;0,0033
38;0;0;16;42_43_52_53;0,0036
38;2;1;4;42_43_52_53;0,0009
38;2;0;5;42_43_52_53;0,0011
38;2;2;2;42_43_52_53;0,0004
38;0;2;7;42_43_52_53;0,0016
39;0;2;6;43_44_53_54;0,0013
39;1;0;20;43_44_53_54;0,0044
39;0;1;24;43_44_53_54;0,0053
39;1;1;24;43_44_53_54;0,0053
39;2;0;5;43_44_53_54;0,0011
39;0;0;14;43_44_53_54;0,0031
39;2;1;1;43_44_53_54;0,0002
39;1;2;6;43_44_53_54;0,0013
40;0;1;18;44_45_54_55;0,004
40;1;0;22;44_45_54_55;0,0049
40;0;2;6;44_45_54_55;0,0013
40;1;2;9;44_45_54_55;0,002
40;0;0;20;44_45_54_55;0,0044
40;1;1;19;44_45_54_55;0,0042
40;2;1;4;44_45_54_55;0,0009
40;2;0;2;44_45_54_55;0,0004
41;0;1;20;45_46_55_56;0,0044
41;1;0;21;45_46_55_56;0,0047
41;1;2;8;45_46_55_56;0,0018
41;0;0;18;45_46_55_56;0,004
41;2;1;3;45_46_55_56;0,0007
41;0;2;6;45_46_55_56;0,0013
41;1;1;18;45_46_55_56;0,004
41;2;0;5;45_46_55_56;0,0011
41;2;2;1;45_46_55_56;0,0002
42;0;1;21;46_47_56_57;0,0047
42;1;0;21;46_47_56_57;0,0047
42;1;1;21;46_47_56_57;0,0047
42;2;0;2;46_47_56_57;0,0004
42;0;0;16;46_47_56_57;0,0036
42;1;2;5;46_47_56_57;0,0011
42;0;2;7;46_47_56_57;0,0016
42;2;1;6;46_47_56_57;0,0013
42;2;2;1;46_47_56_57;0,0002
43;1;1;23;47_48_57_58;0,0051
43;0;0;14;47_48_57_58;0,0031
43;0;1;21;47_48_57_58;0,0047
43;2;0;5;47_48_57_58;0,0011
43;1;0;20;47_48_57_58;0,0044
43;1;2;6;47_48_57_58;0,0013
43;0;2;5;47_48_57_58;0,0011
43;2;1;4;47_48_57_58;0,0009
43;2;2;2;47_48_57_58;0,0004
44;1;1;25;48_49_58_59;0,0056
44;0;1;20;48_49_58_59;0,0044
44;0;0;17;48_49_58_59;0,0038
44;1;0;20;48_49_58_59;0,0044
44;2;2;3;48_49_58_59;0,0007
44;2;0;5;48_49_58_59;0,0011
44;0;2;3;48_49_58_59;0,0007
44;2;1;3;48_49_58_59;0,0007
44;1;2;4;48_49_58_59;0,0009
45;1;1;26;49_50_59_60;0,0058
45;0;1;18;49_50_59_60;0,004
45;0;0;17;49_50_59_60;0,0038
45;1;2;4;49_50_59_60;0,0009
45;1;0;22;49_50_59_60;0,0049
45;2;1;4;49_50_59_60;0,0009
45;2;0;3;49_50_59_60;0,0007
45;0;2;6;49_50_59_60;0,0013
