Месяц;№ Шара;Кол-во выпадений;Шанс (%);Тип
апрель;12;23;0,0639;Частое
апрель;16;22;0,0611;Частое
апрель;18;21;0,0583;Частое
апрель;6;21;0,0583;Частое
апрель;17;20;0,0556;Частое
апрель;2;19;0,0528;Частое
апрель;20;19;0,0528;Частое
апрель;15;18;0,05;Частое
апрель;9;11;0,0306;Редкое
апрель;10;13;0,0361;Редкое
апрель;19;14;0,0389;Редкое
апрель;11;14;0,0389;Редкое
апрель;14;15;0,0417;Редкое
апрель;13;15;0,0417;Редкое
апрель;3;16;0,0444;Редкое
апрель;7;16;0,0444;Редкое
апрель;1;17;0,0472;Редкое
апрель;8;17;0,0472;Редкое
май;7;27;0,0726;Частое
май;15;26;0,0699;Частое
май;20;25;0,0672;Частое
май;11;22;0,0591;Частое
май;2;22;0,0591;Частое
май;10;21;0,0565;Частое
май;13;20;0,0538;Частое
май;12;20;0,0538;Частое
май;5;19;0,0511;Частое
май;18;19;0,0511;Частое
май;3;12;0,0323;Редкое
май;8;13;0,0349;Редкое
май;16;13;0,0349;Редкое
май;17;15;0,0403;Редкое
май;9;15;0,0403;Редкое
май;6;15;0,0403;Редкое
май;19;16;0,043;Редкое
май;4;16;0,043;Редкое
май;1;17;0,0457;Редкое
май;5;19;0,0511;Редкое
июнь;8;34;0,081;Частое
июнь;18;33;0,0786;Частое
июнь;1;25;0,0595;Частое
июнь;6;23;0,0548;Частое
июнь;11;23;0,0548;Частое
июнь;15;23;0,0548;Частое
июнь;17;23;0,0548;Частое
июнь;20;23;0,0548;Частое
июнь;9;23;0,0548;Частое
июнь;2;23;0,0548;Частое
июнь;13;13;0,031;Редкое
июнь;19;13;0,031;Редкое
июнь;16;16;0,0381;Редкое
июнь;10;16;0,0381;Редкое
июнь;5;17;0,0405;Редкое
июнь;12;18;0,0429;Редкое
июнь;3;18;0,0429;Редкое
июнь;4;18;0,0429;Редкое
июнь;7;19;0,0452;Редкое
июнь;14;19;0,0452;Редкое
октябрь;8;4;0,1111;Частое
октябрь;9;4;0,1111;Частое
октябрь;18;3;0,0833;Частое
октябрь;10;3;0,0833;Частое
октябрь;11;3;0,0833;Частое
октябрь;7;3;0,0833;Частое
октябрь;16;2;0,0556;Частое
октябрь;6;2;0,0556;Частое
октябрь;1;2;0,0556;Частое
октябрь;13;2;0,0556;Частое
октябрь;3;1;0,0278;Редкое
октябрь;15;1;0,0278;Редкое
октябрь;19;1;0,0278;Редкое
октябрь;5;1;0,0278;Редкое
октябрь;2;1;0,0278;Редкое
октябрь;12;1;0,0278;Редкое
октябрь;17;1;0,0278;Редкое
октябрь;14;1;0,0278;Редкое
октябрь;16;2;0,0556;Редкое
октябрь;6;2;0,0556;Редкое
ноябрь;17;27;0,075;Частое
ноябрь;11;26;0,0722;Частое
ноябрь;10;23;0,0639;Частое
ноябрь;2;22;0,0611;Частое
ноябрь;1;22;0,0611;Частое
ноябрь;16;21;0,0583;Частое
ноябрь;5;20;0,0556;Частое
ноябрь;18;19;0,0528;Частое
ноябрь;4;18;0,05;Частое
ноябрь;8;17;0,0472;Частое
ноябрь;20;12;0,0333;Редкое
ноябрь;19;13;0,0361;Редкое
ноябрь;7;14;0,0389;Редкое
ноябрь;14;14;0,0389;Редкое
ноябрь;6;15;0,0417;Редкое
ноябрь;3;15;0,0417;Редкое
ноябрь;13;15;0,0417;Редкое
ноябрь;9;15;0,0417;Редкое
ноябрь;12;16;0,0444;Редкое
ноябрь;15;16;0,0444;Редкое
декабрь;16;26;0,0699;Частое
декабрь;18;25;0,0672;Частое
декабрь;19;24;0,0645;Частое
декабрь;5;22;0,0591;Частое
декабрь;1;22;0,0591;Частое
декабрь;12;20;0,0538;Частое
декабрь;6;20;0,0538;Частое
декабрь;15;19;0,0511;Частое
декабрь;2;19;0,0511;Частое
декабрь;13;18;0,0484;Частое
декабрь;9;13;0,0349;Редкое
декабрь;3;13;0,0349;Редкое
декабрь;14;14;0,0376;Редкое
декабрь;8;15;0,0403;Редкое
декабрь;10;16;0,043;Редкое
декабрь;11;16;0,043;Редкое
декабрь;4;17;0,0457;Редкое
декабрь;20;17;0,0457;Редкое
декабрь;13;18;0,0484;Редкое
декабрь;17;18;0,0484;Редкое
