№ Тиражей;№Поз 1;№Поз 2;№Поз 3;№Поз 4;№Поз 5;№Поз 6;№Поз 7;№Поз 8;№Поз 9;№Поз 10;№Поз 11;№Поз 12;№Поз 13;№Поз 14;№Поз 15;№Поз 16;№Поз 17;№Поз 18;№Поз 19;№Поз 20
18_27;2,50000000;2,50000000;2,50000000;3,33333333;3,33333333;2,00000000;5,00000000;2,50000000;1,66666667;3,33333333;3,33333333;2,00000000;2,50000000;5,00000000;2,00000000;2,00000000;5,00000000;5,00000000;1,66666667;2,00000000
19_28;3,33333333;2,00000000;2,00000000;2,50000000;2,00000000;2,50000000;5,00000000;2,00000000;2,50000000;1,66666667;2,50000000;2,00000000;2,50000000;2,00000000;2,00000000;3,33333333;5,00000000;5,00000000;3,33333333;3,33333333
20_29;2,00000000;2,50000000;10,00000000;1,66666667;3,33333333;3,33333333;2,50000000;2,50000000;5,00000000;3,33333333;10,00000000;2,50000000;5,00000000;5,00000000;2,50000000;10,00000000;2,50000000;2,50000000;1,66666667;3,33333333
21_30;1,66666667;2,50000000;3,33333333;1,42857143;2,50000000;10,00000000;2,50000000;5,00000000;3,33333333;2,00000000;3,33333333;5,00000000;2,50000000;2,00000000;2,50000000;3,33333333;3,33333333;2,50000000;2,50000000;3,33333333
22_31;1,42857143;2,00000000;3,33333333;2,50000000;2,50000000;10,00000000;3,33333333;3,33333333;5,00000000;2,00000000;3,33333333;2,50000000;5,00000000;3,33333333;5,00000000;2,50000000;5,00000000;3,33333333;5,00000000;5,00000000
23_32;3,33333333;5,00000000;2,50000000;2,50000000;10,00000000;2,50000000;2,50000000;2,50000000;2,50000000;2,00000000;3,33333333;3,33333333;2,00000000;3,33333333;2,00000000;3,33333333;2,50000000;5,00000000;5,00000000;10,00000000
24_33;2,00000000;5,00000000;2,50000000;2,50000000;1,66666667;1,66666667;2,50000000;2,00000000;3,33333333;2,50000000;10,00000000;10,00000000;3,33333333;10,00000000;5,00000000;5,00000000;2,50000000;10,00000000;2,00000000;2,50000000
25_34;2,00000000;2,00000000;2,00000000;2,00000000;3,33333333;2,00000000;2,50000000;3,33333333;2,00000000;2,00000000;3,33333333;2,00000000;5,00000000;3,33333333;2,00000000;2,50000000;2,00000000;3,33333333;3,33333333;3,33333333
26_35;10,00000000;2,50000000;2,00000000;1,25000000;10,00000000;5,00000000;5,00000000;2,00000000;3,33333333;2,00000000;2,50000000;3,33333333;3,33333333;5,00000000;2,50000000;2,50000000;5,00000000;2,50000000;5,00000000;1,42857143
27_36;5,00000000;3,33333333;2,50000000;5,00000000;2,50000000;1,66666667;2,50000000;3,33333333;1,42857143;5,00000000;2,00000000;5,00000000;5,00000000;3,33333333;1,66666667;5,00000000;2,00000000;2,00000000;2,50000000;2,50000000
28_37;10,00000000;2,50000000;5,00000000;5,00000000;1,42857143;1,25000000;2,00000000;3,33333333;2,50000000;3,33333333;2,50000000;2,00000000;5,00000000;5,00000000;3,33333333;3,33333333;2,50000000;2,50000000;3,33333333;3,33333333
29_38;2,50000000;1,42857143;3,33333333;3,33333333;2,00000000;2,00000000;2,50000000;3,33333333;3,33333333;2,00000000;2,50000000;2,00000000;2,00000000;5,00000000;5,00000000;3,33333333;2,50000000;3,33333333;10,00000000;5,00000000
30_39;2,50000000;2,50000000;2,00000000;2,00000000;2,50000000;2,50000000;2,50000000;2,50000000;3,33333333;2,50000000;1,66666667;2,00000000;2,50000000;2,50000000;10,00000000;3,33333333;3,33333333;3,33333333;10,00000000;2,50000000
31_40;10,00000000;1,66666667;2,50000000;2,50000000;1,66666667;3,33333333;3,33333333;2,00000000;3,33333333;2,00000000;3,33333333;3,33333333;10,00000000;2,50000000;3,33333333;3,33333333;2,50000000;2,00000000;1,66666667;2,50000000
32_41;2,00000000;2,00000000;5,00000000;2,50000000;2,50000000;1,66666667;5,00000000;2,00000000;2,50000000;2,00000000;3,33333333;5,00000000;2,00000000;5,00000000;1,66666667;10,00000000;1,66666667;5,00000000;5,00000000;1,66666667
33_42;2,50000000;3,33333333;10,00000000;2,50000000;1,66666667;3,33333333;3,33333333;2,50000000;2,50000000;3,33333333;3,33333333;3,33333333;3,33333333;3,33333333;5,00000000;2,00000000;2,00000000;3,33333333;3,33333333;2,50000000
34_43;1,42857143;2,50000000;3,33333333;5,00000000;3,33333333;10,00000000;2,00000000;5,00000000;3,33333333;3,33333333;3,33333333;2,00000000;3,33333333;2,50000000;-;5,00000000;3,33333333;5,00000000;2,50000000;2,50000000
35_44;5,00000000;2,50000000;2,50000000;2,50000000;2,50000000;5,00000000;3,33333333;2,50000000;1,66666667;2,50000000;10,00000000;10,00000000;3,33333333;2,50000000;2,50000000;2,50000000;2,50000000;5,00000000;5,00000000;2,50000000
36_45;2,50000000;2,00000000;2,00000000;2,00000000;5,00000000;3,33333333;2,00000000;3,33333333;2,50000000;5,00000000;5,00000000;2,00000000;2,00000000;2,50000000;3,33333333;5,00000000;2,50000000;5,00000000;5,00000000;1,66666667
37_46;2,50000000;2,50000000;5,00000000;3,33333333;2,50000000;2,50000000;5,00000000;2,00000000;2,50000000;2,50000000;3,33333333;2,50000000;2,00000000;2,50000000;2,50000000;5,00000000;-;5,00000000;2,50000000;3,33333333
38_47;3,33333333;2,50000000;2,50000000;1,66666667;2,00000000;2,00000000;3,33333333;3,33333333;1,66666667;2,50000000;3,33333333;2,50000000;2,00000000;2,00000000;3,33333333;1,66666667;5,00000000;-;3,33333333;3,33333333
39_48;3,33333333;3,33333333;1,66666667;2,50000000;1,42857143;3,33333333;2,50000000;2,50000000;3,33333333;3,33333333;1,66666667;3,33333333;5,00000000;5,00000000;1,66666667;10,00000000;3,33333333;1,66666667;3,33333333;3,33333333
40_49;2,00000000;2,50000000;2,50000000;2,50000000;1,42857143;5,00000000;1,66666667;2,50000000;1,42857143;2,50000000;5,00000000;2,50000000;1,42857143;5,00000000;1,42857143;2,00000000;3,33333333;3,33333333;3,33333333;2,50000000
41_50;5,00000000;2,00000000;2,00000000;2,00000000;1,42857143;3,33333333;3,33333333;2,50000000;2,50000000;2,00000000;1,42857143;5,00000000;2,50000000;3,33333333;3,33333333;2,00000000;5,00000000;10,00000000;3,33333333;3,33333333
42_51;2,00000000;2,50000000;1,66666667;3,33333333;2,50000000;2,00000000;1,66666667;1,66666667;3,33333333;2,00000000;2,00000000;10,00000000;2,00000000;10,00000000;2,50000000;3,33333333;2,00000000;10,00000000;10,00000000;1,66666667
43_52;2,00000000;2,50000000;2,50000000;1,42857143;2,00000000;2,50000000;2,50000000;10,00000000;2,50000000;10,00000000;1,42857143;2,50000000;2,50000000;2,00000000;2,00000000;5,00000000;2,50000000;1,66666667;2,50000000;3,33333333
44_53;2,50000000;2,00000000;2,50000000;1,66666667;1,66666667;2,00000000;10,00000000;2,50000000;1,66666667;2,50000000;5,00000000;2,00000000;1,66666667;2,00000000;3,33333333;3,33333333;10,00000000;3,33333333;3,33333333;5,00000000
45_54;2,00000000;2,50000000;3,33333333;5,00000000;2,50000000;3,33333333;2,00000000;1,66666667;1,66666667;2,00000000;2,00000000;2,50000000;2,50000000;2,50000000;1,66666667;2,50000000;1,66666667;1,66666667;2,50000000;2,00000000
46_55;2,50000000;1,66666667;2,50000000;2,50000000;1,66666667;2,50000000;10,00000000;2,00000000;1,66666667;3,33333333;2,50000000;10,00000000;2,50000000;5,00000000;3,33333333;10,00000000;1,66666667;2,00000000;2,50000000;2,00000000
47_56;1,66666667;3,33333333;5,00000000;1,42857143;2,00000000;3,33333333;2,50000000;2,00000000;3,33333333;1,66666667;2,00000000;2,00000000;3,33333333;1,42857143;-;2,00000000;2,00000000;2,50000000;2,00000000;2,50000000
48_57;5,00000000;2,00000000;2,50000000;2,00000000;2,00000000;1,66666667;2,00000000;1,66666667;1,66666667;1,66666667;2,50000000;5,00000000;2,00000000;2,50000000;3,33333333;3,33333333;3,33333333;3,33333333;1,66666667;5,00000000
49_58;2,00000000;2,50000000;2,50000000;2,50000000;2,00000000;2,50000000;2,00000000;3,33333333;3,33333333;5,00000000;2,00000000;2,50000000;3,33333333;5,00000000;2,00000000;3,33333333;2,50000000;2,50000000;1,66666667;2,50000000
50_59;2,50000000;2,50000000;2,50000000;1,66666667;2,50000000;2,50000000;3,33333333;2,00000000;2,50000000;5,00000000;5,00000000;2,00000000;2,50000000;10,00000000;2,50000000;5,00000000;2,50000000;2,50000000;-;2,50000000
51_60;2,50000000;3,33333333;2,50000000;1,42857143;2,00000000;3,33333333;1,66666667;3,33333333;1,42857143;10,00000000;3,33333333;10,00000000;3,33333333;2,50000000;3,33333333;3,33333333;2,50000000;3,33333333;3,33333333;3,33333333
52_61;5,00000000;2,50000000;2,50000000;3,33333333;10,00000000;2,50000000;1,25000000;2,50000000;2,50000000;10,00000000;-;5,00000000;1,66666667;10,00000000;10,00000000;-;2,50000000;1,66666667;2,00000000;5,00000000
53_62;2,00000000;3,33333333;3,33333333;2,50000000;5,00000000;1,66666667;1,25000000;5,00000000;2,50000000;1,25000000;5,00000000;1,25000000;5,00000000;2,50000000;3,33333333;2,00000000;5,00000000;5,00000000;3,33333333;5,00000000
54_63;2,50000000;2,50000000;2,50000000;3,33333333;3,33333333;2,50000000;5,00000000;2,00000000;2,50000000;3,33333333;3,33333333;2,50000000;3,33333333;3,33333333;1,42857143;2,50000000;1,42857143;2,50000000;2,50000000;10,00000000
55_64;2,00000000;5,00000000;2,50000000;5,00000000;2,50000000;3,33333333;5,00000000;2,00000000;2,00000000;2,00000000;2,50000000;3,33333333;2,50000000;2,00000000;2,00000000;10,00000000;2,00000000;2,50000000;2,50000000;2,50000000
56_65;2,50000000;2,00000000;2,00000000;2,00000000;2,00000000;1,25000000;5,00000000;3,33333333;3,33333333;2,50000000;3,33333333;2,50000000;10,00000000;2,50000000;3,33333333;2,50000000;5,00000000;2,50000000;-;2,50000000
57_66;2,50000000;2,00000000;2,00000000;3,33333333;2,00000000;2,00000000;5,00000000;3,33333333;2,00000000;3,33333333;2,00000000;3,33333333;10,00000000;5,00000000;2,00000000;3,33333333;2,00000000;-;2,00000000;2,50000000
58_67;2,50000000;3,33333333;5,00000000;3,33333333;3,33333333;3,33333333;2,00000000;3,33333333;2,00000000;2,00000000;3,33333333;3,33333333;10,00000000;3,33333333;2,50000000;2,50000000;1,66666667;2,00000000;2,00000000;2,00000000
59_68;3,33333333;3,33333333;2,50000000;2,00000000;5,00000000;3,33333333;2,50000000;3,33333333;2,00000000;3,33333333;2,00000000;2,50000000;3,33333333;3,33333333;1,42857143;2,00000000;10,00000000;5,00000000;1,42857143;5,00000000
60_69;1,66666667;2,50000000;3,33333333;1,66666667;5,00000000;5,00000000;5,00000000;2,00000000;3,33333333;5,00000000;3,33333333;2,50000000;2,50000000;3,33333333;3,33333333;3,33333333;3,33333333;3,33333333;2,00000000;2,00000000
61_70;5,00000000;1,66666667;2,50000000;2,00000000;3,33333333;1,42857143;3,33333333;2,50000000;3,33333333;2,50000000;1,66666667;5,00000000;2,00000000;2,50000000;1,66666667;3,33333333;1,66666667;5,00000000;3,33333333;2,00000000
62_71;3,33333333;2,00000000;1,66666667;1,66666667;5,00000000;2,50000000;3,33333333;1,66666667;2,00000000;3,33333333;3,33333333;2,50000000;2,00000000;3,33333333;2,00000000;2,00000000;-;2,00000000;2,00000000;2,50000000
63_72;2,00000000;2,00000000;2,50000000;1,66666667;2,50000000;2,50000000;10,00000000;2,00000000;2,00000000;5,00000000;3,33333333;2,50000000;5,00000000;-;3,33333333;-;10,00000000;2,50000000;3,33333333;5,00000000
64_73;2,00000000;3,33333333;2,00000000;1,66666667;5,00000000;2,00000000;1,66666667;2,50000000;1,66666667;2,00000000;-;3,33333333;3,33333333;5,00000000;2,00000000;2,00000000;2,50000000;10,00000000;2,50000000;2,50000000
65_74;2,00000000;3,33333333;1,66666667;2,50000000;3,33333333;2,50000000;3,33333333;1,66666667;3,33333333;3,33333333;2,50000000;1,66666667;10,00000000;3,33333333;3,33333333;10,00000000;3,33333333;1,66666667;3,33333333;3,33333333
66_75;10,00000000;2,50000000;2,50000000;2,00000000;2,50000000;3,33333333;2,50000000;1,66666667;1,66666667;3,33333333;2,50000000;2,50000000;10,00000000;5,00000000;5,00000000;1,66666667;2,50000000;5,00000000;10,00000000;2,50000000
67_76;1,66666667;1,66666667;2,00000000;1,66666667;1,66666667;1,66666667;2,50000000;1,66666667;1,66666667;3,33333333;5,00000000;2,00000000;5,00000000;5,00000000;5,00000000;5,00000000;1,66666667;5,00000000;-;2,00000000
68_77;3,33333333;2,50000000;2,50000000;3,33333333;3,33333333;2,50000000;2,00000000;2,00000000;2,00000000;2,50000000;5,00000000;-;2,50000000;2,00000000;3,33333333;5,00000000;3,33333333;1,66666667;2,00000000;3,33333333
69_78;2,00000000;10,00000000;2,00000000;2,50000000;3,33333333;1,42857143;2,50000000;2,50000000;10,00000000;2,00000000;3,33333333;1,66666667;3,33333333;10,00000000;2,00000000;2,50000000;2,00000000;2,00000000;10,00000000;2,00000000
70_79;2,50000000;2,50000000;2,50000000;2,50000000;3,33333333;1,66666667;1,66666667;3,33333333;2,50000000;1,66666667;10,00000000;2,50000000;5,00000000;3,33333333;2,00000000;2,50000000;5,00000000;2,00000000;2,50000000;10,00000000
71_80;1,25000000;3,33333333;3,33333333;2,50000000;2,00000000;3,33333333;10,00000000;2,50000000;1,25000000;2,50000000;3,33333333;1,66666667;3,33333333;3,33333333;2,50000000;2,00000000;2,50000000;2,50000000;2,00000000;3,33333333
72_81;3,33333333;1,25000000;3,33333333;2,50000000;2,00000000;3,33333333;5,00000000;3,33333333;2,50000000;1,25000000;3,33333333;1,66666667;5,00000000;2,00000000;2,00000000;2,00000000;10,00000000;10,00000000;1,25000000;10,00000000
73_82;3,33333333;2,50000000;3,33333333;2,50000000;1,66666667;3,33333333;3,33333333;5,00000000;1,66666667;5,00000000;5,00000000;3,33333333;3,33333333;5,00000000;2,50000000;3,33333333;3,33333333;3,33333333;1,66666667;5,00000000
74_83;2,50000000;5,00000000;3,33333333;3,33333333;2,50000000;2,50000000;3,33333333;5,00000000;1,66666667;3,33333333;2,00000000;-;-;3,33333333;5,00000000;2,00000000;-;3,33333333;3,33333333;5,00000000
75_84;2,00000000;3,33333333;3,33333333;10,00000000;2,50000000;1,66666667;3,33333333;1,66666667;1,66666667;3,33333333;3,33333333;5,00000000;3,33333333;3,33333333;3,33333333;1,66666667;3,33333333;3,33333333;10,00000000;2,00000000
76_85;2,50000000;2,00000000;2,50000000;5,00000000;1,42857143;10,00000000;1,42857143;2,00000000;5,00000000;2,50000000;3,33333333;10,00000000;3,33333333;2,50000000;5,00000000;2,00000000;2,50000000;5,00000000;2,50000000;5,00000000
77_86;2,00000000;2,00000000;3,33333333;2,00000000;2,50000000;2,50000000;5,00000000;2,50000000;2,50000000;2,50000000;10,00000000;3,33333333;2,50000000;3,33333333;5,00000000;5,00000000;2,50000000;2,50000000;5,00000000;5,00000000
78_87;3,33333333;2,00000000;2,00000000;5,00000000;2,00000000;2,00000000;1,42857143;2,50000000;3,33333333;3,33333333;2,50000000;2,00000000;3,33333333;3,33333333;1,42857143;2,00000000;2,00000000;5,00000000;5,00000000;5,00000000
79_88;2,00000000;5,00000000;2,00000000;3,33333333;1,66666667;2,50000000;2,00000000;2,00000000;5,00000000;2,00000000;3,33333333;3,33333333;5,00000000;2,00000000;5,00000000;3,33333333;3,33333333;3,33333333;3,33333333;5,00000000
80_89;3,33333333;1,66666667;3,33333333;3,33333333;1,66666667;2,00000000;3,33333333;3,33333333;2,00000000;2,50000000;3,33333333;3,33333333;2,50000000;10,00000000;3,33333333;3,33333333;10,00000000;2,00000000;10,00000000;2,00000000
81_90;2,00000000;2,50000000;2,00000000;2,00000000;10,00000000;5,00000000;2,50000000;2,50000000;3,33333333;10,00000000;3,33333333;5,00000000;5,00000000;2,00000000;3,33333333;1,66666667;3,33333333;1,66666667;3,33333333;1,66666667
82_91;2,00000000;3,33333333;2,00000000;3,33333333;2,50000000;2,00000000;3,33333333;1,42857143;1,42857143;5,00000000;2,50000000;5,00000000;2,50000000;5,00000000;2,00000000;10,00000000;3,33333333;10,00000000;2,50000000;-
83_92;3,33333333;3,33333333;2,50000000;2,50000000;1,42857143;3,33333333;2,50000000;5,00000000;2,50000000;2,50000000;2,50000000;5,00000000;1,66666667;3,33333333;1,66666667;10,00000000;10,00000000;3,33333333;-;-
84_93;2,00000000;3,33333333;1,66666667;5,00000000;5,00000000;2,00000000;3,33333333;2,50000000;1,66666667;2,00000000;2,50000000;10,00000000;1,42857143;3,33333333;5,00000000;5,00000000;3,33333333;-;-;-
85_94;2,50000000;3,33333333;3,33333333;2,50000000;3,33333333;5,00000000;1,66666667;1,66666667;2,00000000;1,66666667;5,00000000;2,00000000;2,50000000;10,00000000;3,33333333;2,50000000;-;-;-;-
86_95;5,00000000;3,33333333;5,00000000;1,66666667;5,00000000;2,00000000;1,66666667;2,50000000;2,00000000;1,66666667;5,00000000;3,33333333;5,00000000;3,33333333;3,33333333;-;-;-;-;-
87_96;3,33333333;3,33333333;2,00000000;1,66666667;2,50000000;2,00000000;2,50000000;3,33333333;2,50000000;2,50000000;5,00000000;3,33333333;3,33333333;2,50000000;-;-;-;-;-;-
88_97;2,00000000;3,33333333;3,33333333;2,00000000;1,66666667;2,50000000;3,33333333;2,00000000;2,00000000;5,00000000;2,00000000;5,00000000;2,50000000;-;-;-;-;-;-;-
89_98;10,00000000;2,50000000;5,00000000;2,50000000;1,66666667;1,66666667;2,00000000;3,33333333;2,00000000;2,00000000;3,33333333;3,33333333;-;-;-;-;-;-;-;-
90_99;2,50000000;3,33333333;2,00000000;3,33333333;2,50000000;3,33333333;1,66666667;1,66666667;3,33333333;2,50000000;2,00000000;-;-;-;-;-;-;-;-;-
91_100;5,00000000;1,42857143;5,00000000;2,00000000;1,66666667;5,00000000;3,33333333;2,00000000;3,33333333;2,50000000;-;-;-;-;-;-;-;-;-;-
