День месяца;№ Шара;Кол-во выпадений;Шанс (%);Тип
29;11;7;0,1458;Частое
29;19;7;0,1458;Редкое
29;4;7;0,1458;Редкое
29;9;6;0,125;Редкое
29;20;6;0,125;Редкое
29;2;6;0,125;Редкое
29;8;5;0,1042;Редкое
29;14;5;0,1042;Редкое
29;12;5;0,1042;Редкое
29;13;4;0,0833;Редкое
29;7;4;0,0833;Редкое
30;9;12;0,25;Частое
30;7;11;0,2292;Частое
30;8;9;0,1875;Частое
30;11;9;0,1875;Частое
30;5;9;0,1875;Частое
30;1;9;0,1875;Частое
30;4;9;0,1875;Частое
30;18;9;0,1875;Частое
30;16;8;0,1667;Частое
30;10;7;0,1458;Частое
30;12;7;0,1458;Редкое
30;14;7;0,1458;Редкое
30;6;7;0,1458;Редкое
30;2;6;0,125;Редкое
30;17;5;0,1042;Редкое
30;19;5;0,1042;Редкое
30;20;5;0,1042;Редкое
30;15;4;0,0833;Редкое
30;13;3;0,0625;Редкое
30;3;3;0,0625;Редкое
31;9;8;0,2667;Частое
31;6;7;0,2333;Частое
31;11;6;0,2;Частое
31;10;6;0,2;Частое
31;16;6;0,2;Частое
31;1;5;0,1667;Частое
31;13;5;0,1667;Частое
31;7;5;0,1667;Частое
31;2;5;0,1667;Частое
31;19;5;0,1667;Частое
31;17;4;0,1333;Редкое
31;14;4;0,1333;Редкое
31;18;4;0,1333;Редкое
31;20;4;0,1333;Редкое
31;4;4;0,1333;Редкое
31;3;3;0,1;Редкое
31;12;3;0,1;Редкое
31;8;2;0,0667;Редкое
31;5;2;0,0667;Редкое
31;15;2;0,0667;Редкое
