№ Квадрата;Четные;Нечетные;Количество;Числа квадрата;Шанс
15;2;2;14;16_17_26_27;0,0003
15;2;0;49;16_17_26_27;0,0011
16;0;1;197;17_18_27_28;0,0044
16;1;0;219;17_18_27_28;0,0049
16;1;1;188;17_18_27_28;0,0042
16;0;0;180;17_18_27_28;0,004
16;2;0;54;17_18_27_28;0,0012
16;1;2;51;17_18_27_28;0,0011
16;2;2;12;17_18_27_28;0,0003
16;2;1;42;17_18_27_28;0,0009
16;0;2;57;17_18_27_28;0,0013
17;0;0;199;18_19_28_29;0,0044
17;1;0;230;18_19_28_29;0,0051
17;0;2;42;18_19_28_29;0,0009
17;0;1;193;18_19_28_29;0,0043
17;2;1;40;18_19_28_29;0,0009
17;1;2;40;18_19_28_29;0,0009
17;1;1;188;18_19_28_29;0,0042
17;2;0;61;18_19_28_29;0,0014
17;2;2;7;18_19_28_29;0,0002
18;0;0;212;19_20_29_30;0,0047
18;1;0;222;19_20_29_30;0,0049
18;0;2;44;19_20_29_30;0,001
18;1;1;198;19_20_29_30;0,0044
18;1;2;39;19_20_29_30;0,0009
18;0;1;184;19_20_29_30;0,0041
18;2;0;56;19_20_29_30;0,0012
18;2;2;6;19_20_29_30;0,0001
18;2;1;39;19_20_29_30;0,0009
19;0;0;201;21_22_31_32;0,0045
19;1;2;47;21_22_31_32;0,001
19;0;1;205;21_22_31_32;0,0046
19;1;1;198;21_22_31_32;0,0044
19;1;0;196;21_22_31_32;0,0044
19;2;2;4;21_22_31_32;0,0001
19;2;0;51;21_22_31_32;0,0011
19;0;2;54;21_22_31_32;0,0012
19;2;1;44;21_22_31_32;0,001
20;0;1;208;22_23_32_33;0,0046
20;1;1;204;22_23_32_33;0,0045
20;0;0;184;22_23_32_33;0,0041
20;0;2;68;22_23_32_33;0,0015
20;1;0;194;22_23_32_33;0,0043
20;2;2;8;22_23_32_33;0,0002
20;1;2;43;22_23_32_33;0,001
20;2;1;45;22_23_32_33;0,001
20;2;0;46;22_23_32_33;0,001
21;1;1;207;23_24_33_34;0,0046
21;1;0;205;23_24_33_34;0,0046
21;2;1;55;23_24_33_34;0,0012
21;2;0;41;23_24_33_34;0,0009
21;0;0;178;23_24_33_34;0,004
21;2;2;10;23_24_33_34;0,0002
21;0;1;195;23_24_33_34;0,0043
21;0;2;60;23_24_33_34;0,0013
21;1;2;49;23_24_33_34;0,0011
22;1;1;199;24_25_34_35;0,0044
22;1;0;208;24_25_34_35;0,0046
22;2;0;55;24_25_34_35;0,0012
22;2;1;42;24_25_34_35;0,0009
22;0;1;197;24_25_34_35;0,0044
22;0;2;59;24_25_34_35;0,0013
22;0;0;177;24_25_34_35;0,0039
22;1;2;54;24_25_34_35;0,0012
22;2;2;9;24_25_34_35;0,0002
23;0;1;203;25_26_35_36;0,0045
23;0;0;199;25_26_35_36;0,0044
23;1;1;194;25_26_35_36;0,0043
23;1;0;205;25_26_35_36;0,0046
23;2;1;41;25_26_35_36;0,0009
23;0;2;63;25_26_35_36;0,0014
23;1;2;51;25_26_35_36;0,0011
23;2;0;36;25_26_35_36;0,0008
23;2;2;8;25_26_35_36;0,0002
24;0;0;213;26_27_36_37;0,0047
24;1;1;203;26_27_36_37;0,0045
24;1;0;198;26_27_36_37;0,0044
24;0;1;205;26_27_36_37;0,0046
24;2;1;33;26_27_36_37;0,0007
24;1;2;49;26_27_36_37;0,0011
24;0;2;47;26_27_36_37;0,001
24;2;0;44;26_27_36_37;0,001
24;2;2;8;26_27_36_37;0,0002
25;0;0;192;27_28_37_38;0,0043
25;1;0;217;27_28_37_38;0,0048
25;0;1;201;27_28_37_38;0,0045
25;2;0;46;27_28_37_38;0,001
25;1;1;186;27_28_37_38;0,0041
25;0;2;49;27_28_37_38;0,0011
25;1;2;47;27_28_37_38;0,001
25;2;1;54;27_28_37_38;0,0012
25;2;2;8;27_28_37_38;0,0002
26;0;1;203;28_29_38_39;0,0045
26;1;1;190;28_29_38_39;0,0042
26;2;0;48;28_29_38_39;0,0011
26;0;2;46;28_29_38_39;0,001
26;0;0;193;28_29_38_39;0,0043
26;1;2;42;28_29_38_39;0,0009
26;1;0;218;28_29_38_39;0,0048
26;2;1;50;28_29_38_39;0,0011
26;2;2;10;28_29_38_39;0,0002
27;0;1;201;29_30_39_40;0,0045
27;2;1;51;29_30_39_40;0,0011
27;0;0;194;29_30_39_40;0,0043
27;1;2;48;29_30_39_40;0,0011
27;1;0;214;29_30_39_40;0,0048
27;0;2;41;29_30_39_40;0,0009
27;1;1;191;29_30_39_40;0,0042
27;2;0;51;29_30_39_40;0,0011
27;2;2;9;29_30_39_40;0,0002
28;1;1;205;31_32_41_42;0,0046
28;2;2;16;31_32_41_42;0,0004
28;0;1;211;31_32_41_42;0,0047
28;0;0;185;31_32_41_42;0,0041
28;2;0;48;31_32_41_42;0,0011
28;1;0;218;31_32_41_42;0,0048
28;1;2;35;31_32_41_42;0,0008
28;2;1;45;31_32_41_42;0,001
28;0;2;37;31_32_41_42;0,0008
29;1;1;218;32_33_42_43;0,0048
29;2;1;44;32_33_42_43;0,001
29;0;1;206;32_33_42_43;0,0046
29;0;0;161;32_33_42_43;0,0036
29;2;0;59;32_33_42_43;0,0013
29;1;0;198;32_33_42_43;0,0044
29;2;2;6;32_33_42_43;0,0001
29;0;2;66;32_33_42_43;0,0015
29;1;2;42;32_33_42_43;0,0009
30;0;1;197;33_34_43_44;0,0044
30;2;1;45;33_34_43_44;0,001
30;1;1;226;33_34_43_44;0,005
30;2;0;47;33_34_43_44;0,001
30;1;0;211;33_34_43_44;0,0047
30;0;0;160;33_34_43_44;0,0036
30;1;2;56;33_34_43_44;0,0012
30;0;2;45;33_34_43_44;0,001
30;2;2;13;33_34_43_44;0,0003
31;0;2;48;34_35_44_45;0,0011
31;2;0;45;34_35_44_45;0,001
31;1;0;221;34_35_44_45;0,0049
31;2;2;15;34_35_44_45;0,0003
31;0;1;187;34_35_44_45;0,0042
31;1;1;218;34_35_44_45;0,0048
31;0;0;167;34_35_44_45;0,0037
31;1;2;54;34_35_44_45;0,0012
31;2;1;45;34_35_44_45;0,001
32;0;2;65;35_36_45_46;0,0014
32;1;0;192;35_36_45_46;0,0043
32;1;2;43;35_36_45_46;0,001
32;0;0;201;35_36_45_46;0,0045
32;1;1;199;35_36_45_46;0,0044
32;0;1;195;35_36_45_46;0,0043
32;2;1;56;35_36_45_46;0,0012
32;2;2;9;35_36_45_46;0,0002
32;2;0;40;35_36_45_46;0,0009
33;0;0;193;36_37_46_47;0,0043
33;1;0;183;36_37_46_47;0,0041
33;1;1;205;36_37_46_47;0,0046
33;0;1;217;36_37_46_47;0,0048
33;1;2;46;36_37_46_47;0,001
33;2;1;44;36_37_46_47;0,001
33;2;0;56;36_37_46_47;0,0012
33;0;2;51;36_37_46_47;0,0011
33;2;2;5;36_37_46_47;0,0001
34;0;0;196;37_38_47_48;0,0044
34;1;0;182;37_38_47_48;0,004
34;0;1;200;37_38_47_48;0,0044
34;1;1;213;37_38_47_48;0,0047
34;2;0;54;37_38_47_48;0,0012
34;2;1;53;37_38_47_48;0,0012
34;0;2;42;37_38_47_48;0,0009
34;1;2;47;37_38_47_48;0,001
34;2;2;13;37_38_47_48;0,0003
35;0;1;206;38_39_48_49;0,0046
35;1;2;58;38_39_48_49;0,0013
35;0;0;178;38_39_48_49;0,004
35;1;0;211;38_39_48_49;0,0047
35;2;1;61;38_39_48_49;0,0014
35;0;2;54;38_39_48_49;0,0012
35;1;1;173;38_39_48_49;0,0038
35;2;0;50;38_39_48_49;0,0011
35;2;2;9;38_39_48_49;0,0002
36;0;1;185;39_40_49_50;0,0041
36;1;2;61;39_40_49_50;0,0014
36;0;0;195;39_40_49_50;0,0043
36;2;2;13;39_40_49_50;0,0003
36;1;1;203;39_40_49_50;0,0045
36;1;0;181;39_40_49_50;0,004
36;2;0;63;39_40_49_50;0,0014
36;2;1;52;39_40_49_50;0,0012
36;0;2;47;39_40_49_50;0,001
37;1;1;220;41_42_51_52;0,0049
37;1;0;227;41_42_51_52;0,005
37;0;2;52;41_42_51_52;0,0012
37;0;0;190;41_42_51_52;0,0042
37;0;1;177;41_42_51_52;0,0039
37;2;1;40;41_42_51_52;0,0009
37;1;2;43;41_42_51_52;0,001
37;2;0;45;41_42_51_52;0,001
37;2;2;6;41_42_51_52;0,0001
38;1;2;44;42_43_52_53;0,001
38;1;0;215;42_43_52_53;0,0048
38;1;1;231;42_43_52_53;0,0051
38;0;1;186;42_43_52_53;0,0041
38;0;0;174;42_43_52_53;0,0039
38;2;1;36;42_43_52_53;0,0008
38;2;0;46;42_43_52_53;0,001
38;2;2;9;42_43_52_53;0,0002
38;0;2;59;42_43_52_53;0,0013
39;0;2;53;43_44_53_54;0,0012
39;1;0;196;43_44_53_54;0,0044
39;0;1;198;43_44_53_54;0,0044
39;1;1;206;43_44_53_54;0,0046
39;2;0;53;43_44_53_54;0,0012
39;0;0;186;43_44_53_54;0,0041
39;2;1;49;43_44_53_54;0,0011
39;1;2;45;43_44_53_54;0,001
39;2;2;14;43_44_53_54;0,0003
40;0;1;209;44_45_54_55;0,0046
40;1;0;182;44_45_54_55;0,004
40;0;2;45;44_45_54_55;0,001
40;1;2;56;44_45_54_55;0,0012
40;0;0;183;44_45_54_55;0,0041
40;1;1;209;44_45_54_55;0,0046
40;2;1;50;44_45_54_55;0,0011
40;2;0;56;44_45_54_55;0,0012
40;2;2;10;44_45_54_55;0,0002
41;0;1;200;45_46_55_56;0,0044
41;1;0;207;45_46_55_56;0,0046
41;1;2;49;45_46_55_56;0,0011
41;0;0;170;45_46_55_56;0,0038
41;2;1;57;45_46_55_56;0,0013
41;0;2;51;45_46_55_56;0,0011
41;1;1;211;45_46_55_56;0,0047
41;2;0;44;45_46_55_56;0,001
41;2;2;11;45_46_55_56;0,0002
42;0;1;210;46_47_56_57;0,0047
42;1;0;196;46_47_56_57;0,0044
42;1;1;221;46_47_56_57;0,0049
42;2;0;52;46_47_56_57;0,0012
42;0;0;163;46_47_56_57;0,0036
42;1;2;50;46_47_56_57;0,0011
42;0;2;48;46_47_56_57;0,0011
42;2;1;52;46_47_56_57;0,0012
42;2;2;8;46_47_56_57;0,0002
43;1;1;224;47_48_57_58;0,005
43;0;0;160;47_48_57_58;0,0036
43;0;1;207;47_48_57_58;0,0046
43;2;0;41;47_48_57_58;0,0009
43;1;0;210;47_48_57_58;0,0047
43;1;2;43;47_48_57_58;0,001
43;0;2;53;47_48_57_58;0,0012
43;2;1;52;47_48_57_58;0,0012
43;2;2;10;47_48_57_58;0,0002
44;1;1;232;48_49_58_59;0,0052
44;0;1;182;48_49_58_59;0,004
44;0;0;186;48_49_58_59;0,0041
44;1;0;198;48_49_58_59;0,0044
44;2;2;13;48_49_58_59;0,0003
44;2;0;50;48_49_58_59;0,0011
44;0;2;52;48_49_58_59;0,0012
44;2;1;40;48_49_58_59;0,0009
44;1;2;47;48_49_58_59;0,001
45;1;1;217;49_50_59_60;0,0048
45;0;1;185;49_50_59_60;0,0041
45;0;0;196;49_50_59_60;0,0044
45;1;2;49;49_50_59_60;0,0011
45;1;0;197;49_50_59_60;0,0044
45;2;1;52;49_50_59_60;0,0012
45;2;0;41;49_50_59_60;0,0009
45;0;2;55;49_50_59_60;0,0012
45;2;2;8;49_50_59_60;0,0002
