Начальный тираж;Начальная позиция;Конечный тираж;Конечная позиция;Числа
6;7;6;7;7,7,7,7
6;12;6;12;12,12,12,12
6;19;6;19;19,19,19,19
6;20;6;20;20,20,20,20
6;29;6;29;29,29,29,29
6;31;6;31;31,31,31,31
6;35;6;35;35,35,35,35
6;37;6;37;37,37,37,37
6;39;6;39;39,39,39,39
6;40;6;40;40,40,40,40
6;43;6;43;43,43,43,43
6;46;6;46;46,46,46,46
6;48;6;48;48,48,48,48
6;49;6;49;49,49,49,49
6;50;6;50;50,50,50,50
6;52;6;52;52,52,52,52
6;58;6;58;58,58,58,58
6;59;6;59;59,59,59,59
7;1;7;1;1,1,1,1
7;8;7;8;8,8,8,8
7;9;7;9;9,9,9,9
7;13;7;13;13,13,13,13
7;15;7;15;15,15,15,15
7;16;7;16;16,16,16,16
7;18;7;18;18,18,18,18
7;21;7;21;21,21,21,21
7;23;7;23;23,23,23,23
7;24;7;24;24,24,24,24
7;28;7;28;28,28,28,28
7;29;7;29;29,29,29,29
7;33;7;33;33,33,33,33
7;34;7;34;34,34,34,34
7;45;7;45;45,45,45,45
7;46;7;46;46,46,46,46
7;52;7;52;52,52,52,52
7;54;7;54;54,54,54,54
7;56;7;56;56,56,56,56
7;58;7;58;58,58,58,58
8;2;8;2;2,2,2,2
8;7;8;7;7,7,7,7
8;8;8;8;8,8,8,8
8;10;8;10;10,10,10,10
8;17;8;17;17,17,17,17
8;19;8;19;19,19,19,19
8;21;8;21;21,21,21,21
8;23;8;23;23,23,23,23
8;25;8;25;25,25,25,25
8;26;8;26;26,26,26,26
8;30;8;30;30,30,30,30
8;32;8;32;32,32,32,32
8;36;8;36;36,36,36,36
8;37;8;37;37,37,37,37
8;42;8;42;42,42,42,42
8;44;8;44;44,44,44,44
8;45;8;45;45,45,45,45
8;48;8;48;48,48,48,48
8;53;8;53;53,53,53,53
8;55;8;55;55,55,55,55
9;6;9;6;6,6,6,6
9;15;9;15;15,15,15,15
9;16;9;16;16,16,16,16
9;20;9;20;20,20,20,20
9;24;9;24;24,24,24,24
9;30;9;30;30,30,30,30
9;31;9;31;31,31,31,31
9;35;9;35;35,35,35,35
9;36;9;36;36,36,36,36
9;38;9;38;38,38,38,38
9;39;9;39;39,39,39,39
9;40;9;40;40,40,40,40
9;47;9;47;47,47,47,47
9;48;9;48;48,48,48,48
9;53;9;53;53,53,53,53
9;54;9;54;54,54,54,54
9;55;9;55;55,55,55,55
9;56;9;56;56,56,56,56
9;57;9;57;57,57,57,57
10;3;10;3;3,3,3,3
10;12;10;12;12,12,12,12
10;14;10;14;14,14,14,14
10;15;10;15;15,15,15,15
10;19;10;19;19,19,19,19
10;20;10;20;20,20,20,20
10;22;10;22;22,22,22,22
10;28;10;28;28,28,28,28
10;29;10;29;29,29,29,29
10;30;10;30;30,30,30,30
10;35;10;35;35,35,35,35
10;39;10;39;39,39,39,39
10;41;10;41;41,41,41,41
10;49;10;49;49,49,49,49
10;50;10;50;50,50,50,50
10;52;10;52;52,52,52,52
10;53;10;53;53,53,53,53
10;54;10;54;54,54,54,54
10;55;10;55;55,55,55,55
