День месяца;№ Шара;Кол-во выпадений;Шанс (%);Тип
12;6;7;0,1458;Редкое
12;5;7;0,1458;Редкое
12;11;7;0,1458;Редкое
12;14;6;0,125;Редкое
12;10;6;0,125;Редкое
12;3;5;0,1042;Редкое
12;18;4;0,0833;Редкое
12;17;4;0,0833;Редкое
12;20;4;0,0833;Редкое
13;18;13;0,2708;Частое
13;5;10;0,2083;Частое
13;8;9;0,1875;Частое
13;20;9;0,1875;Частое
13;2;8;0,1667;Частое
13;3;8;0,1667;Частое
13;6;8;0,1667;Частое
13;12;8;0,1667;Частое
13;14;7;0,1458;Частое
13;7;7;0,1458;Частое
13;16;7;0,1458;Редкое
13;13;7;0,1458;Редкое
13;4;6;0,125;Редкое
13;19;6;0,125;Редкое
13;11;6;0,125;Редкое
13;15;6;0,125;Редкое
13;17;5;0,1042;Редкое
13;9;5;0,1042;Редкое
13;10;5;0,1042;Редкое
13;1;4;0,0833;Редкое
14;2;13;0,2708;Частое
14;7;12;0,25;Частое
14;13;12;0,25;Частое
14;3;11;0,2292;Частое
14;10;10;0,2083;Частое
14;17;9;0,1875;Частое
14;12;9;0,1875;Частое
14;19;9;0,1875;Частое
14;14;7;0,1458;Частое
14;8;7;0,1458;Частое
14;1;6;0,125;Редкое
14;15;6;0,125;Редкое
14;20;6;0,125;Редкое
14;5;5;0,1042;Редкое
14;6;5;0,1042;Редкое
14;9;4;0,0833;Редкое
14;4;4;0,0833;Редкое
14;16;4;0,0833;Редкое
14;11;3;0,0625;Редкое
14;18;2;0,0417;Редкое
15;13;12;0,25;Частое
15;2;11;0,2292;Частое
15;18;11;0,2292;Частое
15;1;10;0,2083;Частое
15;19;10;0,2083;Частое
15;4;9;0,1875;Частое
15;5;8;0,1667;Частое
15;11;8;0,1667;Частое
15;16;8;0,1667;Частое
15;14;8;0,1667;Частое
15;9;8;0,1667;Редкое
15;8;6;0,125;Редкое
15;20;5;0,1042;Редкое
15;12;5;0,1042;Редкое
15;3;5;0,1042;Редкое
15;10;4;0,0833;Редкое
15;15;4;0,0833;Редкое
15;17;4;0,0833;Редкое
15;6;4;0,0833;Редкое
15;7;4;0,0833;Редкое
16;3;14;0,2917;Частое
16;7;10;0,2083;Частое
16;8;9;0,1875;Частое
16;17;9;0,1875;Частое
16;12;8;0,1667;Частое
16;18;8;0,1667;Частое
16;2;8;0,1667;Частое
16;4;7;0,1458;Частое
16;19;7;0,1458;Частое
16;14;7;0,1458;Частое
16;6;6;0,125;Редкое
16;10;6;0,125;Редкое
16;11;6;0,125;Редкое
16;5;6;0,125;Редкое
16;1;6;0,125;Редкое
16;9;6;0,125;Редкое
16;16;6;0,125;Редкое
16;20;5;0,1042;Редкое
16;15;5;0,1042;Редкое
16;13;5;0,1042;Редкое
17;6;10;0,2083;Частое
17;15;10;0,2083;Частое
17;5;10;0,2083;Частое
17;16;10;0,2083;Частое
17;2;10;0,2083;Частое
17;19;9;0,1875;Частое
17;4;9;0,1875;Частое
17;13;7;0,1458;Частое
17;17;7;0,1458;Частое
17;10;6;0,125;Частое
17;3;6;0,125;Редкое
17;7;6;0,125;Редкое
17;12;6;0,125;Редкое
17;1;6;0,125;Редкое
17;9;6;0,125;Редкое
17;18;6;0,125;Редкое
17;8;5;0,1042;Редкое
17;20;5;0,1042;Редкое
17;11;5;0,1042;Редкое
17;14;5;0,1042;Редкое
18;11;14;0,2917;Частое
18;6;13;0,2708;Частое
18;1;11;0,2292;Частое
18;19;11;0,2292;Частое
18;5;9;0,1875;Частое
18;18;9;0,1875;Частое
18;15;9;0,1875;Частое
18;9;8;0,1667;Частое
18;20;7;0,1458;Частое
18;17;7;0,1458;Частое
18;13;7;0,1458;Редкое
18;10;7;0,1458;Редкое
18;3;5;0,1042;Редкое
18;4;5;0,1042;Редкое
18;2;5;0,1042;Редкое
18;16;5;0,1042;Редкое
18;14;4;0,0833;Редкое
18;8;4;0,0833;Редкое
18;12;2;0,0417;Редкое
18;7;2;0,0417;Редкое
19;2;13;0,2708;Частое
19;15;10;0,2083;Частое
19;10;10;0,2083;Частое
19;13;9;0,1875;Частое
19;18;9;0,1875;Частое
19;4;9;0,1875;Частое
19;12;8;0,1667;Частое
19;19;8;0,1667;Частое
19;1;8;0,1667;Частое
19;8;8;0,1667;Частое
19;16;8;0,1667;Редкое
19;14;7;0,1458;Редкое
19;11;6;0,125;Редкое
19;3;6;0,125;Редкое
19;17;6;0,125;Редкое
19;9;5;0,1042;Редкое
19;6;5;0,1042;Редкое
19;20;4;0,0833;Редкое
19;5;3;0,0625;Редкое
19;7;2;0,0417;Редкое
20;16;13;0,2708;Частое
20;14;10;0,2083;Частое
20;18;9;0,1875;Частое
20;20;9;0,1875;Частое
20;17;9;0,1875;Частое
20;3;9;0,1875;Частое
20;13;8;0,1667;Частое
20;1;8;0,1667;Частое
20;5;8;0,1667;Частое
20;4;8;0,1667;Частое
20;15;7;0,1458;Редкое
20;7;7;0,1458;Редкое
20;2;6;0,125;Редкое
20;11;6;0,125;Редкое
20;8;6;0,125;Редкое
20;9;6;0,125;Редкое
20;10;6;0,125;Редкое
20;12;5;0,1042;Редкое
20;19;2;0,0417;Редкое
20;6;2;0,0417;Редкое
21;9;11;0,2292;Частое
21;5;11;0,2292;Частое
21;19;10;0,2083;Частое
21;2;10;0,2083;Частое
21;20;10;0,2083;Частое
21;3;10;0,2083;Частое
21;15;10;0,2083;Частое
21;13;9;0,1875;Частое
21;17;9;0,1875;Частое
21;4;9;0,1875;Частое
21;14;8;0,1667;Редкое
21;16;6;0,125;Редкое
21;8;5;0,1042;Редкое
21;12;4;0,0833;Редкое
21;10;4;0,0833;Редкое
21;6;4;0,0833;Редкое
21;18;4;0,0833;Редкое
21;7;4;0,0833;Редкое
21;1;3;0,0625;Редкое
21;11;3;0,0625;Редкое
22;5;13;0,2708;Частое
22;3;11;0,2292;Частое
22;12;11;0,2292;Частое
22;19;10;0,2083;Частое
22;1;9;0,1875;Частое
22;17;8;0,1667;Частое
22;4;8;0,1667;Частое
22;18;8;0,1667;Частое
22;11;7;0,1458;Частое
22;20;7;0,1458;Частое
22;9;6;0,125;Редкое
22;10;6;0,125;Редкое
22;13;6;0,125;Редкое
22;2;6;0,125;Редкое
22;7;5;0,1042;Редкое
22;14;5;0,1042;Редкое
22;8;5;0,1042;Редкое
22;6;5;0,1042;Редкое
22;15;4;0,0833;Редкое
22;16;4;0,0833;Редкое
23;17;11;0,2292;Частое
23;5;10;0,2083;Частое
23;15;9;0,1875;Частое
23;3;9;0,1875;Частое
23;2;8;0,1667;Частое
23;4;8;0,1667;Частое
23;12;8;0,1667;Частое
23;19;8;0,1667;Частое
23;11;7;0,1458;Частое
23;14;7;0,1458;Частое
23;8;7;0,1458;Редкое
23;9;7;0,1458;Редкое
23;16;7;0,1458;Редкое
23;6;6;0,125;Редкое
23;20;6;0,125;Редкое
23;1;6;0,125;Редкое
23;10;6;0,125;Редкое
23;18;6;0,125;Редкое
23;13;4;0,0833;Редкое
23;7;4;0,0833;Редкое
24;17;14;0,2917;Частое
24;15;11;0,2292;Частое
24;18;10;0,2083;Частое
24;13;9;0,1875;Частое
24;7;9;0,1875;Частое
24;1;9;0,1875;Частое
24;10;9;0,1875;Частое
24;11;8;0,1667;Частое
24;19;7;0,1458;Частое
24;8;7;0,1458;Частое
24;4;6;0,125;Редкое
24;16;6;0,125;Редкое
24;14;6;0,125;Редкое
24;12;6;0,125;Редкое
24;5;5;0,1042;Редкое
24;3;5;0,1042;Редкое
24;20;5;0,1042;Редкое
24;9;5;0,1042;Редкое
24;6;4;0,0833;Редкое
24;2;3;0,0625;Редкое
25;3;12;0,25;Частое
25;11;11;0,2292;Частое
25;5;11;0,2292;Частое
25;10;10;0,2083;Частое
25;16;8;0,1667;Частое
25;14;8;0,1667;Частое
25;19;8;0,1667;Частое
25;13;8;0,1667;Частое
25;18;8;0,1667;Частое
25;2;8;0,1667;Частое
25;2;8;0,1667;Редкое
25;20;8;0,1667;Редкое
25;6;8;0,1667;Редкое
25;8;6;0,125;Редкое
25;17;6;0,125;Редкое
25;7;6;0,125;Редкое
25;9;5;0,1042;Редкое
25;4;5;0,1042;Редкое
25;12;4;0,0833;Редкое
25;1;4;0,0833;Редкое
26;4;13;0,2708;Частое
26;8;12;0,25;Частое
26;17;12;0,25;Частое
26;16;12;0,25;Частое
26;18;11;0,2292;Частое
26;5;9;0,1875;Частое
26;9;8;0,1667;Частое
26;2;8;0,1667;Частое
26;20;7;0,1458;Частое
26;6;7;0,1458;Частое
26;15;7;0,1458;Редкое
26;19;6;0,125;Редкое
26;14;6;0,125;Редкое
26;3;5;0,1042;Редкое
26;7;4;0,0833;Редкое
26;10;4;0,0833;Редкое
26;11;4;0,0833;Редкое
26;13;3;0,0625;Редкое
26;1;3;0,0625;Редкое
26;12;3;0,0625;Редкое
27;3;14;0,2917;Частое
27;13;13;0,2708;Частое
27;1;9;0,1875;Частое
27;15;9;0,1875;Частое
27;18;9;0,1875;Частое
27;6;9;0,1875;Частое
27;5;8;0,1667;Частое
27;9;8;0,1667;Частое
27;11;8;0,1667;Частое
27;19;8;0,1667;Частое
27;17;7;0,1458;Редкое
27;14;7;0,1458;Редкое
27;16;6;0,125;Редкое
27;2;5;0,1042;Редкое
27;4;5;0,1042;Редкое
27;8;5;0,1042;Редкое
27;12;5;0,1042;Редкое
27;10;4;0,0833;Редкое
27;7;3;0,0625;Редкое
27;20;2;0,0417;Редкое
28;8;12;0,25;Частое
28;7;10;0,2083;Частое
28;17;10;0,2083;Частое
28;14;9;0,1875;Частое
28;6;9;0,1875;Частое
28;1;8;0,1667;Частое
28;11;8;0,1667;Частое
28;19;8;0,1667;Частое
28;4;8;0,1667;Частое
28;13;8;0,1667;Частое
28;5;7;0,1458;Редкое
28;12;7;0,1458;Редкое
28;10;7;0,1458;Редкое
28;16;6;0,125;Редкое
28;3;5;0,1042;Редкое
28;20;5;0,1042;Редкое
28;18;5;0,1042;Редкое
28;2;5;0,1042;Редкое
28;15;4;0,0833;Редкое
28;9;3;0,0625;Редкое
29;8;11;0,2292;Частое
29;13;11;0,2292;Частое
29;3;10;0,2083;Частое
29;1;10;0,2083;Частое
29;5;9;0,1875;Частое
29;17;9;0,1875;Частое
29;20;9;0,1875;Частое
29;19;8;0,1667;Частое
29;10;8;0,1667;Частое
29;6;8;0,1667;Частое
29;18;7;0,1458;Редкое
29;7;7;0,1458;Редкое
29;15;6;0,125;Редкое
29;2;6;0,125;Редкое
29;4;6;0,125;Редкое
29;12;5;0,1042;Редкое
29;11;5;0,1042;Редкое
29;9;4;0,0833;Редкое
29;14;4;0,0833;Редкое
29;16;1;0,0208;Редкое
30;17;11;0,2292;Частое
30;13;11;0,2292;Частое
30;11;9;0,1875;Частое
30;5;9;0,1875;Частое
30;18;8;0,1667;Частое
30;7;8;0,1667;Частое
30;14;8;0,1667;Частое
30;6;8;0,1667;Частое
30;3;8;0,1667;Частое
30;12;8;0,1667;Частое
30;16;8;0,1667;Редкое
30;9;7;0,1458;Редкое
30;8;7;0,1458;Редкое
30;20;7;0,1458;Редкое
30;10;6;0,125;Редкое
30;4;5;0,1042;Редкое
30;2;5;0,1042;Редкое
30;15;5;0,1042;Редкое
30;1;3;0,0625;Редкое
30;19;3;0,0625;Редкое
31;14;7;0,2333;Частое
31;3;7;0,2333;Частое
31;16;6;0,2;Частое
31;8;6;0,2;Частое
31;9;5;0,1667;Частое
31;18;5;0,1667;Частое
31;17;5;0,1667;Частое
31;5;5;0,1667;Частое
31;10;5;0,1667;Частое
31;11;5;0,1667;Частое
31;4;4;0,1333;Редкое
31;19;4;0,1333;Редкое
31;13;4;0,1333;Редкое
31;15;4;0,1333;Редкое
31;1;4;0,1333;Редкое
31;6;3;0,1;Редкое
31;2;3;0,1;Редкое
31;7;3;0,1;Редкое
31;12;3;0,1;Редкое
31;20;2;0,0667;Редкое
